Program Number,Program Name,Fiscal Year,Agency,CFDA Obligations,USASpending Obligations,Delta,Percent under/over reported
10.202,Cooperative Forestry Research,2007,Department of Agriculture,28356226.00,29679088.00,1322862.00,0.05
10.203,Payments to Agricultural Experiment Stations Under the Hatch Act,2007,Department of Agriculture,304477264.00,304277844.00,-199420.00,0.00
10.205,Payments to 1890 Land-Grant Colleges and Tuskegee University,2007,Department of Agriculture,38366135.00,38366099.00,-36.00,0.00
10.207,Animal Health and Disease Research,2007,Department of Agriculture,4651359.00,3961557.00,-689802.00,-0.15
10.221,Tribal Colleges Education Equity Grants,2007,Department of Agriculture,3342000.00,3512000.00,170000.00,0.05
10.222,Tribal Colleges Endowment Program,2007,Department of Agriculture,3119628.00,,-3119628.00,-1.00
10.500,Cooperative Extension Service,2007,Department of Agriculture,431247815.00,470596315.00,39348500.00,0.09
10.553,School Breakfast Program,2007,Department of Agriculture,2228842422.00,,-2228842422.00,-1.00
10.555,National School Lunch Program,2007,Department of Agriculture,7836173913.00,,-7836173913.00,-1.00
10.556,Special Milk Program for Children,2007,Department of Agriculture,14224678.00,,-14224678.00,-1.00
10.557,"Special Supplemental Nutrition Program for Women, Infants, and Children",2007,Department of Agriculture,5547776650.00,1545301452.00,-4002475198.00,-0.72
10.558,Child and Adult Care Food Program,2007,Department of Agriculture,2303732494.00,1546271.00,-2302186223.00,-1.00
10.559,Summer Food Service Program for Children,2007,Department of Agriculture,297932607.00,,-297932607.00,-1.00
10.560,State Administrative Expenses for Child Nutrition,2007,Department of Agriculture,162843624.00,132585587.00,-30258037.00,-0.19
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,2007,Department of Agriculture,2508553167.00,2840242837.00,331689670.00,0.13
10.565,Commodity Supplemental Food Program,2007,Department of Agriculture,107828081.00,32712631.00,-75115450.00,-0.70
10.568,Emergency Food Assistance Program (Administrative Costs),2007,Department of Agriculture,58026690.00,57310028.00,-716662.00,-0.01
10.569,Emergency Food Assistance Program (Food Commodities),2007,Department of Agriculture,130640006.00,,-130640006.00,-1.00
10.572,WIC Farmers' Market Nutrition Program (FMNP),2007,Department of Agriculture,22109323.00,3630543.00,-18478780.00,-0.84
10.664,Cooperative Forestry Assistance,2007,Department of Agriculture,40069200.00,97648227.00,57579027.00,1.44
10.665,Secure Payments for States and Counties Containing Federal Land,2007,Department of Agriculture,0.00,,0.00,0.00
10.680,Forest Health Protection,2007,Department of Agriculture,40000000.00,6569426.00,-33430574.00,-0.84
11.407,Interjurisdictional Fisheries Act of 1986,2007,Department of Commerce,3700000.00,2659489.00,-1040511.00,-0.28
11.419,Coastal Zone Management Administration Awards,2007,Department of Commerce,73546000.00,95971787.00,22425787.00,0.30
12.404,National Guard Civilian Youth Opportunities,2007,Department of Defense,62500000.00,62279992.00,-220008.00,0.00
14.218,Community Development Block Grants/Entitlement Grants,2007,Department of Housing and Urban Development,2592790000.00,,-2592790000.00,-1.00
14.228,Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii,2007,Department of Housing and Urban Development,1111196000.00,,-1111196000.00,-1.00
14.231,Emergency Shelter Grants Program,2007,Department of Housing and Urban Development,160000000.00,,-160000000.00,-1.00
14.239,Home Investment Partnerships Program,2007,Department of Housing and Urban Development,1715671000.00,,-1715671000.00,-1.00
14.241,Housing Opportunities for Persons with AIDS,2007,Department of Housing and Urban Development,286110000.00,,-286110000.00,-1.00
14.867,Indian Housing Block Grants,2007,Department of Housing and Urban Development,617265000.00,,-617265000.00,-1.00
14.872,Public Housing Capital Fund,2007,Department of Housing and Urban Development,2493865000.00,,-2493865000.00,-1.00
15.133,Native American Business Development Institute,2007,Department of the Interior,0.00,,0.00,0.00
15.252,Abandoned Mine Land Reclamation (AMLR) Program,2007,Department of the Interior,145352582.00,,-145352582.00,-1.00
15.426,Coastal Impact Assistance Program (CIAP),2007,Department of the Interior,250000000.00,,-250000000.00,-1.00
15.605,Sport Fish Restoration Program,2007,Department of the Interior,349089063.00,319519752.00,-29569311.00,-0.08
15.611,Wildlife Restoration,2007,Department of the Interior,241310443.00,234629857.00,-6680586.00,-0.03
15.625,Wildlife Conservation and Restoration,2007,Department of the Interior,0.00,-100436.00,-100436.00,0.00
15.626,Hunter Education and Safety Program,2007,Department of the Interior,8000000.00,7259760.00,-740240.00,-0.09
15.634,State Wildlife Grants,2007,Department of the Interior,60754843.00,68147550.00,7392707.00,0.12
15.805,Assistance to State Water Resources Research Institutes,2007,Department of the Interior,5171000.00,9006997.00,3835997.00,0.74
15.904,Historic Preservation Fund Grants-In-Aid,2007,Department of the Interior,42663000.00,3161686.00,-39501314.00,-0.93
16.523,Juvenile Accountability Block Grants,2007,Department of Justice,49361000.00,41676714.00,-7684286.00,-0.16
